,id,level,points,diff,type,depth,unknown,mistakes,time,date
144,68497,2,9.65685,2.0,0,2,0,0,34.2173,10/16/2024
145,65458,3,17.1402,3.5,0,2,1,0,30.3699,10/16/2024
146,52978,3,17.1402,3.5,0,2,1,0,25.9795,10/16/2024
147,43268,1,4.0,1.0,0,0,0,0,91.2305,10/16/2024
148,68497,3,17.1402,3.5,0,2,1,0,13.1202,10/16/2024
149,43268,2,9.65685,2.0,0,2,0,0,122.313,10/16/2024
150,52978,4,19.5897,6.0,1,1,1,2,97.2714,10/16/2024
151,68497,4,22.0392,6.0,1,1,1,1,61.9188,10/16/2024
152,43268,3,17.1402,3.5,0,2,1,0,16.0878,10/16/2024
153,52978,5,30.1727,7.0,1,3,1,0,12.1373,10/16/2024
154,52978,6,44.0291,12.0,2,2,2,0,44.2598,10/16/2024
155,52978,7,58.9957,14.0,2,3,3,0,9.73273,10/16/2024
156,68497,5,20.0392,8.5,2,1,0,3,79.7039,10/16/2024
157,43268,4,19.5897,6.0,1,1,1,2,89.9139,10/16/2024
158,52978,7,58.9957,14.0,2,3,3,0,15.7703,10/16/2024
159,43268,5,30.1727,7.0,1,3,1,0,10.3648,10/16/2024
160,65458,4,15.1402,6.0,1,1,1,3,224.489,10/16/2024
161,43268,6,44.0291,12.0,2,2,2,0,7.33856,10/16/2024
162,52978,7,42.0291,14.0,2,3,3,3,32.8739,10/16/2024
163,43268,7,58.9957,14.0,2,3,3,0,10.9018,10/16/2024
164,68497,6,18.0392,6.5,1,2,1,3,120.179,10/16/2024
165,68497,7,26.9834,5.0,1,2,0,0,34.7126,10/16/2024
166,65458,5,13.1402,4.5,1,1,0,3,137.83,10/16/2024
167,65458,6,20.6235,3.5,0,2,1,0,16.6731,10/16/2024
168,68497,8,38.2971,8.0,2,0,0,0,36.8373,10/16/2024
169,91459,1,4.0,1.0,0,0,0,0,26.0859,10/16/2024
170,91459,2,9.65685,2.0,0,2,0,0,16.2544,10/16/2024
171,15273,1,4.0,1.0,0,0,0,0,60.1873,10/16/2024
172,91459,3,17.1402,3.5,0,2,1,0,18.9236,10/16/2024
173,13477,1,4.0,1.0,0,0,0,0,62.6553,10/16/2024
174,15273,2,9.65685,2.0,0,2,0,0,26.0836,10/16/2024
175,13477,2,9.65685,2.0,0,2,0,0,24.8437,10/16/2024
176,15273,3,17.1402,3.5,0,2,1,0,29.4457,10/16/2024
177,12316,1,1.0,1.0,0,0,0,2,123.452,10/16/2024
178,13477,3,17.1402,3.5,0,2,1,0,24.7332,10/16/2024
179,12316,2,5.0,1.0,0,0,0,0,23.1311,10/16/2024
180,91459,4,22.0392,6.0,1,1,1,1,76.9879,10/16/2024
181,12316,3,10.6568,2.0,0,2,0,0,29.0424,10/16/2024
182,91459,5,33.701,8.5,1,3,2,0,20.486,10/16/2024
183,91459,6,48.6677,14.0,2,3,3,0,11.4155,10/16/2024
184,12316,4,18.1402,3.5,0,2,1,0,19.4477,10/16/2024
185,15273,4,22.0392,6.0,1,1,1,1,82.9794,10/16/2024
186,12316,5,20.5897,6.0,1,1,1,2,93.345,10/16/2024
187,15273,5,20.0392,8.5,2,1,0,3,85.4033,10/16/2024
188,12316,6,31.1727,7.0,1,3,1,0,34.9592,10/16/2024
189,12316,7,45.0291,12.0,2,2,2,0,24.3173,10/16/2024
190,12316,8,59.9957,14.0,2,3,3,0,24.5622,10/16/2024
191,15273,6,25.1382,6.5,1,2,1,1,56.2956,10/16/2024
192,13477,4,15.1402,6.0,1,1,1,3,155.065,10/16/2024
193,13477,5,23.6255,4.5,1,1,0,0,55.6739,10/16/2024
194,15273,7,23.1382,9.5,2,3,0,3,60.7649,10/16/2024
195,15273,8,28.4297,7.0,1,3,1,1,44.3102,10/16/2024
196,15273,9,41.0788,10.0,1,3,3,0,21.5218,10/16/2024
197,13477,6,34.9392,8.0,2,0,0,0,45.3038,10/16/2024
199,42567,1,1.0,1.0,0,0,0,2,40.2054,10/16/2024
200,42567,2,5.0,1.0,0,0,0,0,14.0308,10/16/2024
202,42567,3,10.6568,2.0,0,2,0,0,10.1907,10/16/2024
203,42567,4,18.1402,3.5,0,2,1,0,17.9349,10/16/2024
209,36577,1,4.0,1.0,0,0,0,0,31.2129,10/16/2024
210,36577,2,9.65685,2.0,0,2,0,0,13.9454,10/16/2024
211,39316,1,4.0,1.0,0,0,0,0,89.0184,10/16/2024
212,36577,3,17.1402,3.5,0,2,1,0,11.1614,10/16/2024
213,61152,1,4.0,1.0,0,0,0,0,58.6579,10/16/2024
214,48196,1,4.0,1.0,0,0,0,0,58.2701,10/16/2024
215,48196,2,9.65685,2.0,0,2,0,0,5.41563,10/16/2024
216,39316,2,5.41421,2.0,0,2,0,2,57.2513,10/16/2024
217,61152,2,9.65685,2.0,0,2,0,0,26.9345,10/16/2024
218,48196,3,17.1402,3.5,0,2,1,0,7.15214,10/16/2024
219,36577,4,26.9381,6.0,1,1,1,0,48.5647,10/16/2024
220,61152,3,17.1402,3.5,0,2,1,0,13.6768,10/16/2024
221,39316,3,11.0711,2.0,0,2,0,0,18.4979,10/16/2024
222,28651,1,-2.0,1.0,0,0,0,3,120.019,10/16/2024
223,39316,4,18.5544,3.5,0,2,1,0,8.3517,10/16/2024
224,36577,5,39.5872,10.0,2,1,1,0,12.7445,10/16/2024
225,28651,2,0.0,1.0,0,0,0,1,18.315,10/16/2024
226,28651,3,4.89898,1.5,0,1,0,0,6.99919,10/16/2024
227,36577,6,54.5539,14.0,2,3,3,0,12.2783,10/16/2024
228,48196,4,19.5897,6.0,1,1,1,2,35.2789,10/16/2024
229,28651,4,11.2235,2.5,0,3,0,0,5.99618,10/16/2024
230,28651,5,19.2235,4.0,0,3,1,0,5.81328,10/16/2024
231,48196,5,30.1727,7.0,1,3,1,0,9.94853,10/16/2024
232,48196,6,37.1009,12.0,2,2,2,1,17.4405,10/16/2024
233,48196,7,52.0675,14.0,2,3,3,0,8.9362,10/16/2024
234,61152,4,22.0392,6.0,1,1,1,1,50.1106,10/16/2024
235,39316,5,23.4534,6.0,1,1,1,1,190.307,10/16/2024
236,28651,6,17.2235,6.5,1,2,1,3,92.4156,10/16/2024
237,61152,5,33.701,8.5,1,3,2,0,26.5405,10/16/2024
238,28651,7,26.1678,5.0,0,2,2,0,20.4819,10/16/2024
239,39316,6,21.4534,8.5,1,3,2,3,58.3747,10/16/2024
240,28651,8,28.9962,8.0,2,0,0,2,52.3733,10/16/2024
241,61152,6,37.4427,14.0,2,3,3,2,60.0357,10/16/2024
242,28651,9,32.0784,9.5,2,3,0,2,21.0588,10/16/2024
243,28651,10,30.0784,11.0,2,3,1,3,28.773,10/16/2024
244,39316,7,19.4534,6.5,1,2,1,3,147.987,10/16/2024
245,39316,8,28.3976,5.0,0,2,2,0,16.6231,10/16/2024
246,28651,10,28.0784,11.0,2,3,1,3,28.1513,10/16/2024
247,28651,10,41.3449,11.0,2,3,1,0,10.4302,10/16/2024
