"id","level","points","diff","type","depth","unknown","mistakes","time","date"
"36577","6","54.5539","14","2","3","3","0","12.2783","10/16/2024"
"48196","4","19.5897","6","1","1","1","2","35.2789","10/16/2024"
"28651","4","11.2235","2.5","0","3","0","0","5.99618","10/16/2024"
"28651","5","19.2235","4","0","3","1","0","5.81328","10/16/2024"
"48196","5","30.1727","7","1","3","1","0","9.94853","10/16/2024"
"48196","6","37.1009","12","2","2","2","1","17.4405","10/16/2024"
"48196","7","52.0675","14","2","3","3","0","8.9362","10/16/2024"
"61152","4","22.0392","6","1","1","1","1","50.1106","10/16/2024"
"39316","5","23.4534","6","1","1","1","1","190.307","10/16/2024"
"28651","6","17.2235","6.5","1","2","1","3","92.4156","10/16/2024"
"61152","5","33.701","8.5","1","3","2","0","26.5405","10/16/2024"
"28651","7","26.1678","5","0","2","2","0","20.4819","10/16/2024"
"39316","6","21.4534","8.5","1","3","2","3","58.3747","10/16/2024"
"28651","8","28.9962","8","2","0","0","2","52.3733","10/16/2024"
"61152","6","37.4427","14","2","3","3","2","60.0357","10/16/2024"
"28651","9","32.0784","9.5","2","3","0","2","21.0588","10/16/2024"
"28651","10","30.0784","11","2","3","1","3","28.773","10/16/2024"
"39316","7","19.4534","6.5","1","2","1","3","147.987","10/16/2024"
"39316","8","28.3976","5","0","2","2","0","16.6231","10/16/2024"
"28651","10","28.0784","11","2","3","1","3","28.1513","10/16/2024"
"28651","10","41.3449","11","2","3","1","0","10.4302","10/16/2024"
